13:51:48,1,1
13:52:19,2,0
13:55:55,9,1
14:01:52,21,0
14:07:50,33,1
14:15:31,48,2
14:16:00,49,1
14:17:19,52,0
14:17:50,53,1
14:24:08,65,2
14:29:29,76,0
14:30:22,78,1
14:35:49,89,2
14:38:32,94,0
14:39:19,96,1
14:39:49,97,2
14:43:51,105,1
14:45:49,109,2
15:00:20,138,1
15:01:03,139,2
15:09:50,157,3
15:11:19,160,2
15:11:49,161,3
15:12:26,162,2
15:15:36,168,3
15:16:07,169,0
15:17:51,173,1
15:18:19,174,2
15:18:49,175,1
15:22:50,183,0
15:30:19,198,1
15:32:41,202,0
15:36:20,210,1
15:37:21,212,0
15:40:50,219,1
15:41:06,219,0
15:45:43,228,1
15:46:23,230,0
15:47:37,232,1
15:48:21,234,0
